course_title,num_lectures,price,num_subscribers,tradingCourse_revenue
The Holy Grail of Auto Trading Forex Futures Stocks Revealed,7,50,3917,195850
Advanced Options Trading Course,6,40,1252,50080
How To Start Trading Penny Stocks In 10 Easy Steps 2017,15,50,7750,387500
Forex trading made simple,31,100,45,4500
Start Trading Stocks Using Technical Analysis! Part 2,25,95,94,8930
Forex & Financial Market Trading Tutorial- Online Strategies,69,0,3137,0
High-Frequency Trading #2: Market Structure & Instruments,12,50,1732,86600
Quantitative Trading Analysis with Python,49,50,256,12800
Options Trading Essentials: The ULTIMATE Guides,20,0,1352,0
Essentials Of Swing Trading Stocks,5,20,105,2100
Commodity Futures Day Trading Strategies,28,95,91,8645
FX Commodity Chart Trading Patterns for Success,15,50,83,4150
Forex Elite Trading,22,85,623,52955
Introduction to Forex Trading Business For Beginners,27,20,0,0
Crystal ball trading - foresee price with seasonal patterns,23,145,807,117015
Hedge Fund Trading Systems Part Two - Stocks & ETFs,23,200,56,11200
Stock Market Option Trading: How Sell Options For Premium,19,200,1909,381800
Trading: Basics of Trading for Beginners,20,140,1309,183260
Options Spreads Bundle-  the heart of Options Trading,8,120,623,74760
Create Your Own Automated Stock Trading Robot In EXCEL!,44,150,461,69150
Forex Trading Plan,24,50,21,1050
The Beginner's Guide to the Futures and Options Trading,20,0,6185,0
Forex Trading For Beginners ,22,0,9483,0
Build a Trading Comps Valuation Model,55,50,1032,51600
188% Profit in 1Year - Forex ALGO Robot Trading no indicator,20,120,357,42840
Stock Trading: Insider Tips For Determining Market Direction,11,95,104,9880
Trading For Busy People,26,50,99,4950
Basics of Trading,27,40,99,3960
Day Trading Market Structure Signals,5,0,5529,0
Learn Global Macro Trading & Investing for Retail Investor,27,75,178,13350
Cómo usar Metatrader 4 para hacer trading?,25,20,25,500
Psicología del trading,6,20,1,20
"Erfolgreich als Signalgeber/in, per Social- und Copytrading",33,60,1,60
SEASON 2 MQL4 Tutorial Bootcamp - Metatrader4 Trading Robots,34,25,462,11550
The Binary Institute -  Binary Options Trading Course,12,200,103,20600
Le basi del Trading,18,200,22,4400
Trading: How Transformative Learning Drives Expertise,16,30,69,2070
Forex trading with binary options,21,25,136,3400
Triple P Trading Course,16,20,797,15940
